Value,Disaggregation combinations using this value,Number of indicators
11_reg_Vinnytsya,23,17
12_reg_Volyn,23,17
13_reg_Dnipropetrovsk,88,18
14_reg_Donetsk,88,18
15_reg_Zhytomyr,23,17
16_reg_Zakarpattya,23,17
17_reg_Zaporizhya,88,18
18_reg_Ivano-Frankivsk,23,17
19_reg_Kyiv,23,17
20_reg_Kirovohrad,23,17
21_reg_Luhansk,88,18
22_reg_Lviv,23,17
23_reg_Mykolayiv,23,17
24_reg_Odesa,23,17
25_reg_Poltava,23,17
26_reg_Rivne,23,17
27_reg_Sumy,23,17
28_reg_Ternopil,23,17
29_reg_Kharkiv,88,18
30_reg_Kherson,23,17
31_reg_Khmelnytskiy,23,17
32_reg_Cherkasy,23,17
33_reg_Chernivtsi,23,17
34_reg_Chernihiv,23,17
35_reg_Kyiv_city,18,12
